name,method,correct_ratio,correct_seed,lr,epochs,optimizer,mask_stage,correct_accuracy,wrong_accuracy,forgetting_rate
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep3-optadamw-masknone,sft,100.0,0,0.00005,3,adamw,none,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-5-ep3-optadamw-maskupdate,cnl,100.0,0,0.00005,3,adamw,update,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-5-ep3-optadamw-maskgradient,cnl,100.0,0,0.00005,3,adamw,gradient,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-5-ep3-optadamw-maskupdate,cnl,80.0,0,0.00005,3,adamw,update,0.06501547987616099,0.33670520231213874,0.934984520123839
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-5-ep3-optadamw-maskgradient,cnl,80.0,0,0.00005,3,adamw,gradient,0.1609907120743034,0.3265895953757225,0.8390092879256966
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-5-ep3-optadamw-maskupdate,cnl,60.0,0,0.00005,3,adamw,update,0.05371900826446281,0.33670520231213874,0.9462809917355371
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-5-ep3-optadamw-maskgradient,cnl,60.0,0,0.00005,3,adamw,gradient,0.05371900826446281,0.33670520231213874,0.9462809917355371
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-5-ep3-optadamw-maskupdate,cnl,40.0,0,0.00005,3,adamw,update,0.06790123456790123,0.33670520231213874,0.9320987654320988
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-5-ep3-optadamw-maskgradient,cnl,40.0,0,0.00005,3,adamw,gradient,0.15432098765432098,0.3265895953757225,0.845679012345679
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-5-ep3-optadamw-maskupdate,cnl,20.0,0,0.00005,3,adamw,update,0.04938271604938271,0.33670520231213874,0.9506172839506173
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-5-ep3-optadamw-maskgradient,cnl,20.0,0,0.00005,3,adamw,gradient,0.13580246913580246,0.3222543352601156,0.8641975308641976
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-5-ep3-optadamw-maskupdate,cnl,10.0,0,0.00005,3,adamw,update,0.05,0.33670520231213874,0.95
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-5-ep3-optadamw-maskgradient,cnl,10.0,0,0.00005,3,adamw,gradient,0.125,0.3236994219653179,0.875
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep2-optsgd-masknone,sft,100.0,0,0.00005,2,sgd,none,0.2623762376237624,0.8973988439306358,0.7376237623762376
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-5-ep2-optsgd-maskupdate,cnl,100.0,0,0.00005,2,sgd,update,0.1311881188118812,0.3236994219653179,0.8688118811881188
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-5-ep2-optsgd-maskgradient,cnl,100.0,0,0.00005,2,sgd,gradient,0.1311881188118812,0.3236994219653179,0.8688118811881188
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-5-ep2-optsgd-maskupdate,cnl,80.0,0,0.00005,2,sgd,update,0.15170278637770898,0.3236994219653179,0.848297213622291
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-5-ep2-optsgd-maskgradient,cnl,80.0,0,0.00005,2,sgd,gradient,0.1238390092879257,0.3236994219653179,0.8761609907120743
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-5-ep2-optsgd-maskupdate,cnl,60.0,0,0.00005,2,sgd,update,0.16115702479338842,0.3236994219653179,0.8388429752066116
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-5-ep2-optsgd-maskgradient,cnl,60.0,0,0.00005,2,sgd,gradient,0.16115702479338842,0.3236994219653179,0.8388429752066116
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-5-ep2-optsgd-maskupdate,cnl,40.0,0,0.00005,2,sgd,update,0.14814814814814814,0.3236994219653179,0.8518518518518519
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-5-ep2-optsgd-maskgradient,cnl,40.0,0,0.00005,2,sgd,gradient,0.14814814814814814,0.3236994219653179,0.8518518518518519
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-5-ep2-optsgd-maskupdate,cnl,20.0,0,0.00005,2,sgd,update,0.1728395061728395,0.3236994219653179,0.8271604938271605
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-5-ep2-optsgd-maskgradient,cnl,20.0,0,0.00005,2,sgd,gradient,0.1728395061728395,0.3236994219653179,0.8271604938271605
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-5-ep2-optsgd-maskupdate,cnl,10.0,0,0.00005,2,sgd,update,0.125,0.3338150289017341,0.875
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-5-ep2-optsgd-maskgradient,cnl,10.0,0,0.00005,2,sgd,gradient,0.125,0.3338150289017341,0.875
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep2-optadamw-masknone,sft,100.0,0,0.00005,2,adamw,none,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-5-ep2-optadamw-maskupdate,cnl,100.0,0,0.00005,2,adamw,update,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-5-ep2-optadamw-maskgradient,cnl,100.0,0,0.00005,2,adamw,gradient,0.1311881188118812,0.3236994219653179,0.8688118811881188
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-5-ep2-optadamw-maskupdate,cnl,80.0,0,0.00005,2,adamw,update,0.06501547987616099,0.33670520231213874,0.934984520123839
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr5e-5-ep2-optadamw-maskgradient,cnl,80.0,0,0.00005,2,adamw,gradient,0.1609907120743034,0.3265895953757225,0.8390092879256966
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-5-ep2-optadamw-maskupdate,cnl,60.0,0,0.00005,2,adamw,update,0.05371900826446281,0.33670520231213874,0.9462809917355371
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr5e-5-ep2-optadamw-maskgradient,cnl,60.0,0,0.00005,2,adamw,gradient,0.13636363636363635,0.3309248554913295,0.8636363636363636
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-5-ep2-optadamw-maskupdate,cnl,40.0,0,0.00005,2,adamw,update,0.06790123456790123,0.33670520231213874,0.9320987654320988
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr5e-5-ep2-optadamw-maskgradient,cnl,40.0,0,0.00005,2,adamw,gradient,0.14814814814814814,0.3236994219653179,0.8518518518518519
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-5-ep2-optadamw-maskupdate,cnl,20.0,0,0.00005,2,adamw,update,0.04938271604938271,0.33670520231213874,0.9506172839506173
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr5e-5-ep2-optadamw-maskgradient,cnl,20.0,0,0.00005,2,adamw,gradient,0.12345679012345678,0.3265895953757225,0.8765432098765432
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-5-ep2-optadamw-maskupdate,cnl,10.0,0,0.00005,2,adamw,update,0.05,0.33670520231213874,0.95
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr5e-5-ep2-optadamw-maskgradient,cnl,10.0,0,0.00005,2,adamw,gradient,0.05,0.33670520231213874,0.95
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep1-optsgd-masknone,sft,100.0,0,0.00005,1,sgd,none,0.27722772277227725,0.7615606936416185,0.7227722772277227
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr5e-5-ep1-optsgd-maskupdate,cnl,100.0,0,0.00005,1,sgd,update,0.1311881188118812,0.3236994219653179,0.8688118811881188
